countryID,status,life.expectancy,adult.mortality,infant.deaths,measles,BMI,under.five.deaths,income.composition.of.resources,schooling,continent,sub_region,thin_youth,thin_child
VA16,Developing,77.6,119,0,4,59.9,0,0.863,16.5,Europe,Northern Europe,Low,Low
CN35,Developing,64.8,225,136,17745,17.6,194,0.441,8.4,Africa,Eastern Africa,Low,Low
YO29,Developing,69.9,188,0,0,62.7,0,0.734,15.3,Oceania,Melanesia,Medium,Medium
ST97,Developing,81.1,76,0,2,62.1,0,0.893,17,Europe,Northern Europe,Low,Low
GG41,Developing,82.4,78,2,157,62.5,3,0.894,16.3,Europe,Western Europe,Low,Low
QA12,Developing,66,229,2,27,36.3,3,0.694,12.6,Africa,Middle Africa,High,High
MK14,Developing,61.1,262,3,71,27.3,5,0.45,8.9,Africa,Western Africa,High,High
GD35,Developing,74.4,129,1,431,56.2,1,0.768,13.9,Asia,Western Asia,Medium,Medium
HN16,Developed,81,68,2,2464,62.3,3,0.924,17.1,Europe,Western Europe,Low,Low
BP76,Developing,62.4,249,37,23,28.6,52,0.575,11.4,Africa,Western Africa,High,High
MF66,Developing,81,72,0,1,66.5,0,0.865,17.2,Europe,Southern Europe,Low,Low
MM21,Developing,73.6,142,0,0,48.4,0,0.751,15.8,Americas,Caribbean,Medium,Medium
BD58,Developing,71.9,186,10,0,5.6,12,0.637,10.7,Americas,Central America,Low,Low
MG59,Developing,59,284,26,243,23.3,40,0.414,8.8,Africa,Western Africa,High,High
YO54,Developing,58.9,275,4,153,26.3,6,0.421,9.2,Africa,Western Africa,High,High
LK96,Developing,66.2,215,0,0,46.7,1,0.638,10.3,Americas,South America,High,High
RH74,Developing,63.5,24,14,0,49.9,18,0.49,9.1,Americas,Caribbean,Medium,Medium
UT33,Developing,74.6,147,3,0,51,4,0.623,11.2,Americas,Central America,Medium,Medium
LR66,Developed,75.8,134,0,0,64.8,0,0.834,15.6,Europe,Eastern Europe,Low,Low
YQ44,Developed,82.7,49,0,0,61,0,0.919,19,Europe,Northern Europe,Low,Low
HK84,Developing,68.3,181,910,90387,18.7,1100,0.615,11.6,Asia,Southern Asia,High,High
VN47,Developing,69.1,176,114,15099,27.4,136,0.686,12.9,Asia,South-Eastern Asia,Low,Low
TV69,Developing,75.5,83,18,615,59.7,21,0.774,14.8,Asia,Southern Asia,High,High
UM19,Developing,68.9,182,32,1433,59.1,38,0.649,10.1,Asia,Western Asia,High,High
GO59,Developed,81.4,64,0,4,62.8,0,0.92,18.6,Europe,Northern Europe,Low,Low
FM63,Developing,82.5,58,0,80,64.9,1,0.898,16,Asia,Western Asia,Low,Low
RI21,Developed,82.7,56,1,159,63.6,2,0.881,16.3,Europe,Southern Europe,Low,Low
VK88,Developing,76.2,125,1,0,54.2,1,0.729,12.8,Americas,Caribbean,Low,Low
MW66,Developed,83.7,55,2,35,29,3,0.902,15.3,Asia,Eastern Asia,Medium,Low
PM41,Developing,74.1,112,4,0,65.6,4,0.741,13.1,Asia,Western Asia,Medium,Medium
WK11,Developing,72,198,4,526,53.1,5,0.793,15,Asia,Central Asia,Medium,Medium
UE32,Developing,63.4,249,54,95,22,75,0.55,11.1,Africa,Eastern Africa,High,High
AQ78,Developing,66.3,198,0,0,77.6,0,0.586,11.9,Oceania,Micronesia,Low,Low
JT47,Developing,74.7,81,0,18,71.4,1,0.799,13.3,Asia,Western Asia,Medium,Medium
RS38,Developing,71.1,166,3,17779,44.9,3,0.662,13,Asia,Central Asia,Medium,Medium
RF28,Developing,65.7,194,8,56,21.7,11,0.582,10.8,Asia,South-Eastern Asia,High,High
NM62,Developed,74.6,153,0,0,61.2,0,0.828,16,Europe,Northern Europe,Medium,Medium
NV24,Developing,74.9,98,1,39,66.1,1,0.763,13.3,Asia,Western Asia,Medium,Medium
AQ42,Developing,53.7,484,4,0,32.6,6,0.495,10.7,Africa,Southern Africa,High,High
MK11,Developing,61.4,259,8,1060,27.3,11,0.427,9.9,Africa,Western Africa,High,High
BF55,Developing,72.7,138,1,82,64.8,2,0.719,13.4,Africa,Northern Africa,High,High
SY26,Developed,73.6,165,0,50,62.4,0,0.846,16.5,Europe,Northern Europe,Medium,Medium
KU19,Developed,82,63,0,0,61.3,0,0.896,13.9,Europe,Western Europe,Low,Low
FP98,Developing,65.5,22,28,3,2.5,38,0.511,10.3,Africa,Eastern Africa,High,High
IN66,Developing,58.3,365,26,0,19.6,38,0.473,10.8,Africa,Eastern Africa,High,High
RJ54,Developing,75,123,4,1318,4.6,4,0.787,13.1,Asia,South-Eastern Asia,High,High
TV98,Developing,78.5,61,0,0,27.4,0,0.701,12.7,Asia,Southern Asia,High,High
YF94,Developing,58.2,266,52,215,23.8,84,0.438,8.4,Africa,Western Africa,High,High
IC63,Developed,81.7,54,0,2,69.6,0,0.853,14.6,Europe,Southern Europe,Low,Low
RY43,Developing,63.1,25,8,1,3.8,12,0.513,8.5,Africa,Western Africa,High,High
OR58,Developing,74.6,146,0,0,33.3,0,0.779,15.2,Africa,Eastern Africa,High,High
RF86,Developing,76.7,122,30,0,63.5,35,0.758,13.3,Americas,Central America,Low,Low
XY41,Developing,69.4,166,0,0,69.4,0,0.637,11.7,Oceania,Micronesia,Low,Low
DB19,Developing,68.8,222,1,20359,52.7,1,0.733,14.8,Asia,Eastern Asia,Medium,Medium
ZL86,Developing,76.1,16,0,0,61.8,0,0.804,15.1,Europe,Southern Europe,Low,Low
TG55,Developing,74.3,95,17,17,58.5,20,0.645,12.1,Africa,Northern Africa,High,High
RA81,Developing,57.6,355,60,79,22.6,81,0.414,9.1,Africa,Eastern Africa,Medium,Medium
VJ33,Developing,66.6,199,39,6,23.8,50,0.552,9.1,Asia,South-Eastern Asia,High,High
IW13,Developing,65.8,248,2,212,35.7,3,0.637,11.7,Africa,Southern Africa,High,High
VI39,Developing,69.2,165,17,1599,19.1,21,0.555,12.2,Asia,Southern Asia,High,High
RV38,Developed,81.9,57,1,7,62.1,1,0.923,18.1,Europe,Western Europe,Low,Low
IK96,Developed,81.6,66,0,10,67.5,0,0.913,19.2,Oceania,Australia and New Zealand,Low,Low
AW53,Developing,74.8,145,2,0,54,2,0.642,11.7,Americas,Central America,Low,Low
BW51,Developing,61.8,22,49,7693,19.3,87,0.351,5.4,Africa,Western Africa,High,High
KL22,Developing,54.5,344,483,12423,25.4,747,0.525,10,Africa,Western Africa,High,High
LP44,Developed,81.8,59,0,14,61.2,0,0.948,17.7,Europe,Northern Europe,Low,Low
QU37,Developing,76.6,99,1,0,54.6,1,0.795,13.7,Asia,Western Asia,High,High
LS22,Developing,66.4,161,352,386,25.4,433,0.548,8.1,Asia,Southern Asia,High,High
FV59,Developing,77.8,118,1,0,57.8,1,0.785,13,Americas,Central America,Low,Low
TR23,Developing,62.9,275,10,38,48.6,12,0.515,10,Oceania,Melanesia,Low,Low
OO85,Developing,74,146,2,0,5.2,3,0.692,12.3,Americas,South America,Medium,Low
TP87,Developing,75.5,123,8,4,55.6,10,0.737,13.4,Americas,South America,Low,Low
WO69,Developing,68.5,211,52,619,25.4,66,0.679,11.7,Asia,South-Eastern Asia,Low,High
OU73,Developed,77.5,117,2,0,61.7,2,0.852,16.4,Europe,Eastern Europe,Low,Medium
DV99,Developed,81.1,76,0,8,61.6,0,0.841,16.6,Europe,Southern Europe,Low,Low
JO75,Developing,78.2,68,0,18,69.3,0,0.855,13.4,Asia,Western Asia,High,Medium
HG11,Developed,75,133,2,4,6.7,2,0.798,14.7,Europe,Eastern Europe,Medium,Medium
GW78,Developing,75,222,13,843,6.5,15,0.805,15,Europe,Eastern Europe,Medium,Medium
RL96,Developing,66.1,227,11,1,21.4,15,0.493,10.8,Africa,Eastern Africa,High,High
ER49,Developing,75.2,138,0,0,47.5,0,0.735,13.1,Americas,Caribbean,Medium,Medium
GB41,Developing,73.2,156,0,0,54.1,0,0.72,13.3,Americas,Caribbean,Medium,Medium
KK63,Developing,74,125,0,0,74.7,0,0.702,12.9,Oceania,Polynesia,Low,Low
LV37,Developing,67.5,19,0,0,3.9,0,0.565,11.2,Africa,Middle Africa,High,High
MA26,Developing,74.5,88,7,219,68.2,8,0.845,16.1,Asia,Western Asia,High,High
BY78,Developing,66.7,188,19,58,24.3,26,0.491,9.5,Africa,Western Africa,High,High
BM65,Developing,75.6,121,1,383,6,1,0.775,14.4,Europe,Southern Europe,Medium,Medium
LT27,Developing,73.2,168,0,0,37.4,0,0.781,14.1,Africa,Eastern Africa,High,High
DZ53,Developing,51,413,22,607,24.4,30,0.431,9.5,Africa,Western Africa,High,High
XJ16,Developed,83.1,55,0,0,33.2,0,0.924,15.4,Asia,South-Eastern Asia,Medium,Medium
LQ88,Developed,76.7,19,0,1,59.1,0,0.842,15,Europe,Eastern Europe,Low,Low
EI24,Developed,88,74,0,18,6.1,0,0.888,17.3,Europe,Southern Europe,Low,Low
BR26,Developing,69.2,177,0,0,5.5,0,0.514,9.6,Oceania,Melanesia,Low,Low
SV61,Developing,62.9,328,42,17,51.1,52,0.665,13,Africa,Southern Africa,Medium,High
JJ94,Developed,82.8,56,1,115,66.6,1,0.882,17.7,Europe,Southern Europe,Low,Low
SU27,Developing,74.9,138,3,1568,23.4,3,0.764,14,Asia,Southern Asia,High,High
CI61,Developing,71.6,176,0,0,58.3,0,0.723,12.7,Americas,South America,Medium,Medium
DA54,Developing,58.9,373,2,0,32.3,3,0.541,11.4,Africa,Southern Africa,Medium,Medium
QV76,Developed,82.4,53,0,22,59.5,0,0.909,15.9,Europe,Northern Europe,Low,Low
UC79,Developed,83.4,49,0,35,57.4,0,0.938,16,Europe,Western Europe,Low,Low
IO44,Developing,64.5,293,6,45,57.1,8,0.553,9,Asia,Western Asia,High,High
NO46,Developing,69.7,161,10,3,4.7,11,0.625,11.3,Asia,Central Asia,Medium,Medium
XL84,Developing,74.9,148,8,154,33.6,9,0.738,13.6,Asia,South-Eastern Asia,High,High
VR48,Developing,75.7,12,0,1,6.3,0,0.746,12.9,Europe,Southern Europe,Medium,Medium
ZX63,Developing,68.3,152,2,43,17.4,2,0.603,12.5,Asia,South-Eastern Asia,Low,High
SD88,Developing,59.9,287,13,20,24.3,20,0.484,12,Africa,Western Africa,High,High
SX17,Developing,73.5,133,0,0,75.2,0,0.718,14.3,Oceania,Polynesia,Low,Low
UC29,Developing,71.2,17,0,0,47.1,0,0.779,12.7,Americas,Caribbean,High,High
OI81,Developing,75.3,1,3,16,61.2,3,0.723,14.6,Africa,Northern Africa,High,High
VB53,Developing,75.8,16,15,342,66.1,18,0.764,14.5,Asia,Western Asia,Medium,Medium
WD97,Developing,66.3,215,6,0,48.6,7,0.688,10.8,Asia,Central Asia,Medium,Medium
DH83,Developing,62.3,291,66,478,18.5,93,0.488,10,Africa,Eastern Africa,High,High
AP38,Developing,71.3,195,4,105,61.3,5,0.748,15.3,Europe,Eastern Europe,Medium,Medium
WL68,Developing,77.1,75,1,347,64.2,1,0.836,13.3,Asia,Western Asia,High,High
OC46,Developing,77,116,0,0,64,0,0.794,15.5,Americas,South America,Low,Low
DE76,Developing,69.4,184,15,22,44.7,17,0.697,12.1,Asia,Central Asia,Medium,Medium
XF61,Developing,72,13,0,39,53.3,0,0.598,10.8,Oceania,Melanesia,Low,Low
FV75,Developing,74.1,157,9,0,62.1,10,0.769,14.3,Americas,South America,Low,Low
QX94,Developing,76,127,28,256,17.5,35,0.678,12.6,Asia,South-Eastern Asia,High,High
YW82,Developing,65.7,224,37,468,41.3,47,0.499,9,Asia,Western Asia,High,High
KV98,Developing,61.8,33,27,9,23.4,40,0.576,12.5,Africa,Eastern Africa,High,High
WK24,Developing,67,336,22,0,31.8,32,0.507,10.3,Africa,Eastern Africa,High,High
